Symbol,Last,Bid,Ask,Change,% Change,Volume,Open Int,Imp Vol,Delta,Theta,Vega,Action,Strike,Action,Symbol,Last,Bid,Ask,Change,% Change,Volume,Open Int,Imp Vol,Delta,Theta,Vega
-NIO221216C1. Quote for -NIO221216C1.,63.4,54.2,57,0,0.00 %,0,166,--,1,0,0.0004,,1,,-NIO221216P1. Quote for -NIO221216P1.,0.18,0.06,0.16,0,0.00 %,0,"2,640",170.28 %,-0.0001,0,0.0004
-NIO221216C2. Quote for -NIO221216C2.,45.15,52,57,0,0.00 %,0,8,--,1,0,0.0023,,2,,-NIO221216P2. Quote for -NIO221216P2.,0.27,0.13,0.42,0,0.00 %,0,152,143.49 %,-0.0009,-0.0002,0.0023
-NIO221216C3. Quote for -NIO221216C3.,54.18,51,56,0,0.00 %,0,26,--,1,-0.0001,0.0056,,3,,-NIO221216P3. Quote for -NIO221216P3.,0.27,0.17,0.3,0,0.00 %,0,589,118.24 %,-0.0023,-0.0004,0.0056
-NIO221216C4. Quote for -NIO221216C4.,50.4,50.5,55.45,0,0.00 %,0,30,101.49 %,1,-0.0004,0.01,,4,,-NIO221216P4. Quote for -NIO221216P4.,0.4,0.26,0.44,0,0.00 %,0,275,113.58 %,-0.0043,-0.0007,0.01
-NIO221216C5. Quote for -NIO221216C5.,60,49.5,54.5,0,0.00 %,0,341,93.77 %,1,-0.0008,0.0152,,5,,-NIO221216P5. Quote for -NIO221216P5.,0.5,0.45,0.8,0,0.00 %,0,"4,913",116.98 %,-0.0069,-0.001,0.0152
-NIO221216C8. Quote for -NIO221216C8.,51,47.05,52,0,0.00 %,0,149,95.65 %,0.9914,-0.0021,0.0333,,8,,-NIO221216P8. Quote for -NIO221216P8.,0.94,0.83,1.37,0,0.00 %,0,"1,664",112.07 %,-0.017,-0.0023,0.0333
-NIO221216C10. Quote for -NIO221216C10.,49,46.4,50.5,0,0.00 %,0,696,105.32 %,0.9832,-0.003,0.0464,,10,,-NIO221216P10. Quote for -NIO221216P10.,1.39,1.22,1.69,0,0.00 %,0,"2,724",101.32 %,-0.0252,-0.0033,0.0464
-NIO221216C12. Quote for -NIO221216C12.,52,44.15,49,0,0.00 %,0,341,95.87 %,0.9743,-0.004,0.0596,,12,,-NIO221216P12. Quote for -NIO221216P12.,2,0.16,3.75,0,0.00 %,0,551,99.07 %,-0.0342,-0.0042,0.0596
-NIO221216C15. Quote for -NIO221216C15.,44.57,42.8,47,0,0.00 %,0,"1,948",97.89 %,0.96,-0.0054,0.0791,,15,,-NIO221216P15. Quote for -NIO221216P15.,3.2,3,3.5,0,0.00 %,0,"2,287",101.89 %,-0.0485,-0.0056,0.0791
-NIO221216C17. Quote for -NIO221216C17.,43.64,41.55,44.3,0,0.00 %,0,893,91.06 %,0.9501,-0.0063,0.0916,,17,,-NIO221216P17. Quote for -NIO221216P17.,3.3,3,4.45,0,0.00 %,0,474,97.89 %,-0.0584,-0.0065,0.0917
-NIO221216C20. Quote for -NIO221216C20.,46,39,42,0,0.00 %,0,"2,414",85.14 %,0.935,-0.0076,0.1095,,20,,-NIO221216P20. Quote for -NIO221216P20.,3.4,3.75,5.55,0,0.00 %,0,"1,114",94.32 %,-0.0735,-0.0078,0.1096
-NIO221216C22. Quote for -NIO221216C22.,41.2,39,43,0,0.00 %,0,805,99.27 %,0.9248,-0.0084,0.1209,,22,,-NIO221216P22. Quote for -NIO221216P22.,4.15,4.15,6.95,0,0.00 %,0,142,94.25 %,-0.0837,-0.0086,0.121
-NIO221216C25. Quote for -NIO221216C25.,40.15,38,41,0,0.00 %,0,"1,638",102.51 %,0.9095,-0.0095,0.1368,,25,,-NIO221216P25. Quote for -NIO221216P25.,7.5,5.8,8.1,0,0.00 %,0,"1,277",93.77 %,-0.099,-0.0097,0.1369
-NIO221216C27. Quote for -NIO221216C27.,39.15,37.1,38.5,0,0.00 %,0,"2,272",93.49 %,0.8994,-0.0103,0.1468,,27,,-NIO221216P27. Quote for -NIO221216P27.,7.08,8.65,9.35,0,0.00 %,0,367,100.66 %,-0.1092,-0.0104,0.1469
-NIO221216C30. Quote for -NIO221216C30.,37.9,36.2,37.3,0,0.00 %,0,"2,568",95.67 %,0.8843,-0.0113,0.1609,,30,,-NIO221216P30. Quote for -NIO221216P30.,10.35,10.3,10.5,0,0.00 %,0,"2,836",98.55 %,-0.1243,-0.0114,0.161
-NIO221216C32. Quote for -NIO221216C32.,37,35,37.9,0,0.00 %,0,187,98.80 %,0.8743,-0.0119,0.1697,,32,,-NIO221216P32. Quote for -NIO221216P32.,10.3,11.45,12.05,0,0.00 %,0,691,97.61 %,-0.1343,-0.012,0.1698
-NIO221216C35. Quote for -NIO221216C35.,35,34.2,35.85,0,0.00 %,0,"1,640",97.27 %,0.8595,-0.0128,0.1822,,35,,-NIO221216P35. Quote for -NIO221216P35.,13,12.65,13.95,0,0.00 %,0,270,97.85 %,-0.1491,-0.0129,0.1823
-NIO221216C37. Quote for -NIO221216C37.,35,32.25,35.75,0,0.00 %,0,226,95.77 %,0.8497,-0.0133,0.19,,37,,-NIO221216P37. Quote for -NIO221216P37.,14.7,13.8,15.25,0,0.00 %,0,34,97.65 %,-0.159,-0.0134,0.1902
-NIO221216C40. Quote for -NIO221216C40.,35.05,31.45,34.4,0,0.00 %,0,889,95.74 %,0.8351,-0.014,0.2011,,40,,-NIO221216P40. Quote for -NIO221216P40.,16.17,15.65,17,0,0.00 %,0,"1,515",96.92 %,-0.1736,-0.0142,0.2012
-NIO221216C42. Quote for -NIO221216C42.,32.9,32.05,33.2,0,0.00 %,0,568,97.54 %,0.8256,-0.0145,0.2079,,42,,-NIO221216P42. Quote for -NIO221216P42.,15.05,17.3,18.5,0,0.00 %,0,868,98.11 %,-0.1831,-0.0146,0.208
-NIO221216C45. Quote for -NIO221216C45.,31.5,31.2,32.2,0,0.00 %,0,"1,321",97.22 %,0.8114,-0.0152,0.2177,,45,,-NIO221216P45. Quote for -NIO221216P45.,19.15,19.45,20.25,0,0.00 %,0,732,97.54 %,-0.1974,-0.0153,0.2178
-NIO221216C47. Quote for -NIO221216C47.,30.7,30.45,31.6,0,0.00 %,0,262,97.34 %,0.8017,-0.0155,0.224,,47,,-NIO221216P47. Quote for -NIO221216P47.,17.6,20.3,21.75,0,0.00 %,0,107,96.68 %,-0.2071,-0.0156,0.2241
-NIO221216C50. Quote for -NIO221216C50.,30.2,29.7,31.4,0,0.00 %,0,"1,319",99.02 %,0.7875,-0.0161,0.2328,,50,,-NIO221216P50. Quote for -NIO221216P50.,22.76,22.4,23.75,0,0.00 %,0,551,96.38 %,-0.2213,-0.0162,0.2329
-NIO221216C55. Quote for -NIO221216C55.,28.76,28.4,29.3,0,0.00 %,0,523,97.45 %,0.7665,-0.017,0.2449,,55,,-NIO221216P55. Quote for -NIO221216P55.,24.9,26.15,27.35,0,0.00 %,0,43,96.45 %,-0.2423,-0.0171,0.2449
-NIO221216C60. Quote for -NIO221216C60.,27.63,27.2,28.25,0,0.00 %,0,"1,761",97.31 %,0.7474,-0.0178,0.2549,,60,,-NIO221216P60. Quote for -NIO221216P60.,30.04,30.6,31.1,0,0.00 %,0,81,97.96 %,-0.2615,-0.0179,0.2549
-NIO221216C65. Quote for -NIO221216C65.,26.15,26.05,27.65,0,0.00 %,0,635,97.21 %,0.7288,-0.0185,0.2638,,65,,-NIO221216P65. Quote for -NIO221216P65.,31,34.4,34.95,0,0.00 %,0,44,97.89 %,-0.2801,-0.0186,0.2638
-NIO221216C70. Quote for -NIO221216C70.,25.5,25.15,26,0,0.00 %,0,408,98.09 %,0.7103,-0.0191,0.2719,,70,,-NIO221216P70. Quote for -NIO221216P70.,35.05,37.4,39,0,0.00 %,0,44,96.34 %,-0.2988,-0.0191,0.2718
-NIO221216C75. Quote for -NIO221216C75.,25.05,24.1,25.05,0,0.00 %,0,461,97.45 %,0.6915,-0.0196,0.2792,,75,,-NIO221216P75. Quote for -NIO221216P75.,41.9,42.25,42.9,0,0.00 %,0,57,97.76 %,-0.3176,-0.0196,0.2791
-NIO221216C80. Quote for -NIO221216C80.,23.8,23.3,23.9,0,0.00 %,0,"1,231",97.69 %,0.6731,-0.02,0.2857,,80,,-NIO221216P80. Quote for -NIO221216P80.,42,46.25,47.4,0,0.00 %,0,55,98.28 %,-0.3362,-0.0199,0.2856
-NIO221216C85. Quote for -NIO221216C85.,22.6,22,23.1,0,0.00 %,0,689,97.01 %,0.6548,-0.0203,0.2914,,85,,-NIO221216P85. Quote for -NIO221216P85.,47.15,50.35,51.8,0,0.00 %,0,272,98.66 %,-0.3545,-0.0202,0.2913
-NIO221216C90. Quote for -NIO221216C90.,21.92,21.05,22.75,0,0.00 %,0,15,97.52 %,0.6389,-0.0206,0.2959,,90,,-NIO221216P90. Quote for -NIO221216P90.,0,54.45,56.2,0,0.00 %,0,0,98.85 %,-0.3705,-0.0205,0.2957
-NIO221216C95. Quote for -NIO221216C95.,21.6,20.5,21.6,0,0.00 %,0,67,97.19 %,0.6235,-0.0208,0.2996,,95,,-NIO221216P95. Quote for -NIO221216P95.,56.1,58.65,60.1,0,0.00 %,0,137,98.20 %,-0.3859,-0.0208,0.2993
-NIO221216C100. Quote for -NIO221216C100.,20.3,20,21,0,0.00 %,0,"5,494",97.70 %,0.6088,-0.0211,0.3027,,100,,-NIO221216P100. Quote for -NIO221216P100.,61.97,62.85,64.4,0,0.00 %,0,120,98.08 %,-0.4007,-0.021,0.302